Fecha	SPY (Intradía)	XLB (Intradía)	XLC (Intradía)	XLE (Intradía)	XLF (Intradía)	XLI (Intradía)	XLK (Intradía)	XLP (Intradía)	XLRE (Intradía)	XLU (Intradía)	XLV (Intradía)	XLY (Intradía)	PORTAFOLIO EQUIPONDERADO (Intradía)	SPY (Overnight)	XLB (Overnight)	XLC (Overnight)	XLE (Overnight)	XLF (Overnight)	XLI (Overnight)	XLK (Overnight)	XLP (Overnight)	XLRE (Overnight)	XLU (Overnight)	XLV (Overnight)	XLY (Overnight)	PORTAFOLIO EQUIPONDERADO (Overnight)
2016-09-16	999.48	1002.79	1000.0	1006.57	994.53	996.13	995.99	997.92	995.63	1008.39	1001.67	1001.28	1000.03	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
2016-09-30	998.51	1000.81	1000.0	1025.66	988.43	1009.99	993.66	993.38	1018.09	986.23	992.09	1007.93	1001.34	1014.72	1023.19	1000.0	1027.36	1012.06	1017.12	1014.44	1012.56	1004.3	1016.87	1009.66	1012.76	1013.76
2017-03-31	1052.7	1030.09	1000.0	894.64	1015.23	1055.14	1035.64	1079.35	1156.25	1110.99	1052.77	1079.87	1046.94	1059.77	1101.78	1000.0	1179.17	1221.35	1096.6	1094.98	968.1	873.91	961.83	989.03	1047.99	1046.13
2017-09-30	1043.96	1045.23	1000.0	838.01	1013.14	1082.26	1040.16	1077.33	1214.52	1135.45	1108.87	1039.02	1052.55	1150.08	1188.66	1000.0	1258.12	1344.41	1177.61	1217.83	972.72	862.08	988.4	1039.96	1122.93	1103.27
2018-03-31	1000.77	936.57	1000.0	805.87	916.6	1026.92	1038.0	1039.14	1155.03	1108.11	1082.38	1053.33	1014.32	1268.12	1341.46	1000.0	1305.66	1597.42	1310.9	1360.15	996.12	888.7	981.24	1069.1	1253.43	1182.8
2018-09-30	1053.58	943.26	938.41	868.85	876.07	1061.75	1146.2	1084.54	1236.11	1176.29	1221.53	1102.41	1059.07	1342.79	1367.89	1053.46	1379.28	1686.62	1349.89	1428.19	992.53	888.0	980.49	1115.77	1393.78	1229.7
2019-03-31	979.61	888.98	816.47	732.39	859.8	985.72	1121.55	1122.46	1301.45	1319.41	1148.7	1047.65	1021.33	1417.66	1405.62	1161.5	1453.11	1620.24	1408.19	1444.68	1012.41	953.22	981.21	1153.59	1434.92	1272.47
2019-09-30	978.95	940.02	785.34	619.15	988.72	1032.23	1151.02	1163.48	1268.53	1392.77	1072.13	1049.51	1027.94	1504.54	1409.36	1284.6	1567.24	1550.16	1404.79	1542.11	1083.67	1077.79	1050.84	1224.39	1528.86	1343.1
2020-03-31	1069.2	1062.93	892.42	437.62	1131.95	1066.86	1445.53	1285.19	1275.07	1526.97	1274.83	1088.75	1103.75	1209.37	976.36	1014.98	1157.26	1020.51	1046.38	1235.9	882.19	860.54	835.04	1027.78	1207.33	1037.15
2020-09-30	1057.84	1104.64	925.63	303.43	930.97	1023.04	1496.38	1269.22	1169.33	1414.98	1180.97	1129.07	1044.98	1601.57	1341.05	1319.34	1770.92	1451.6	1435.37	1742.23	1065.72	1082.3	982.13	1332.0	1752.46	1392.59
2021-03-31	1049.19	1069.96	928.58	362.47	991.57	1023.51	1396.21	1260.37	1105.7	1390.38	1088.66	1044.08	1039.89	1925.46	1730.17	1628.81	2486.91	1946.9	1848.12	2134.43	1159.49	1311.09	1095.17	1611.36	2174.5	1722.17
