Activo	Sesión	Media (%)	Std (%)	Skewness	Kurtosis	Sharpe	Alpha Jensen	Appraisal Ratio	MDD (%)	Up Capture	Down Capture	Capture Ratio (Up/Down)
PORTAFOLIO EQUIPONDERADO	Intradía	0.0135	0.7752	0.3744	12.0625	0.168	-0.0074	-0.202	-21.55	0.84	0.84	0.99
PORTAFOLIO EQUIPONDERADO	Overnight	0.0392	0.6901	-3.0241	60.3244	0.577	-0.0071	-0.27	-31.1	0.86	0.85	1.01
SPY	Intradía	0.0182	0.8561	0.5569	15.4336	0.24	-0.0	-0.028	-24.59	1.0	1.0	1.0
SPY	Overnight	0.0444	0.7267	-1.9729	33.0759	0.661	-0.0	-1.819	-29.41	1.0	1.0	1.0
XLB	Intradía	0.0135	1.0085	0.6653	8.6949	0.13	-0.0078	-0.073	-30.02	0.83	0.84	0.99
XLB	Overnight	0.0334	0.8613	-4.5992	103.0258	0.356	-0.0307	-0.471	-38.04	0.95	0.99	0.96
XLC	Intradía	0.017	0.9713	0.2605	7.0459	0.191	-0.0004	-0.005	-30.31	0.92	0.92	1.0
XLC	Overnight	0.0269	0.8284	-2.5572	46.7096	0.245	-0.0409	-0.577	-36.57	0.86	0.92	0.94
XLE	Intradía	-0.0159	1.385	0.0786	3.7128	-0.242	-0.0788	-0.409	-71.82	0.67	0.77	0.87
XLE	Overnight	0.0743	1.2015	-1.389	32.9133	0.796	0.0741	0.493	-37.68	0.88	0.7	1.25
XLF	Intradía	0.0158	1.0108	0.3222	6.1998	0.165	-0.0033	-0.032	-32.65	0.89	0.89	1.0
XLF	Overnight	0.0432	0.9522	-2.1064	47.7304	0.484	-0.014	-0.189	-45.59	1.04	1.06	0.99
XLI	Intradía	0.0073	0.9485	0.2892	7.9082	0.035	-0.0248	-0.298	-28.9	0.89	0.92	0.97
XLI	Overnight	0.0501	0.8052	-1.5091	30.6409	0.71	0.0123	0.259	-33.99	1.02	1.0	1.02
XLK	Intradía	0.0423	1.2126	0.2954	7.9579	0.485	0.0513	0.641	-23.57	1.37	1.31	1.05
XLK	Overnight	0.0555	0.9983	-1.8406	26.703	0.658	0.0072	0.121	-35.73	1.34	1.36	0.99
XLP	Intradía	0.0217	0.7762	-0.1131	7.8234	0.336	0.0239	0.241	-16.12	0.51	0.46	1.1
XLP	Overnight	0.0113	0.5145	-3.3415	66.3201	-0.088	-0.0459	-0.805	-25.94	0.37	0.4	0.93
XLRE	Intradía	-0.0025	1.0402	-0.0787	5.0925	-0.118	-0.0441	-0.34	-43.66	0.67	0.73	0.92
XLRE	Overnight	0.035	0.6714	-1.5737	33.9162	0.493	-0.0043	-0.068	-28.29	0.68	0.65	1.04
XLU	Intradía	0.0071	1.033	0.0622	8.7881	0.028	-0.0129	-0.088	-36.29	0.45	0.46	0.99
XLU	Overnight	0.033	0.5666	-2.2299	45.6819	0.528	0.0071	0.108	-25.63	0.42	0.35	1.2
XLV	Intradía	0.0271	0.8596	0.0698	5.3106	0.403	0.0313	0.333	-23.59	0.71	0.66	1.08
XLV	Overnight	0.0186	0.6031	-1.9022	35.5548	0.118	-0.0399	-0.711	-25.18	0.59	0.62	0.94
XLY	Intradía	0.0102	1.0877	0.2488	6.8109	0.072	-0.0237	-0.28	-35.27	1.13	1.16	0.97
XLY	Overnight	0.0448	0.9071	-1.301	17.8458	0.538	-0.0099	-0.172	-31.18	1.16	1.19	0.97
